ADDRESS;ORIGINAL_LAT;ORIGINAL_LNG
Москва, Бескудниковский б-р, д.19, корп.2;55.865389;37.558122
Москва, б-р Дмитрия Донского, д.6;55.568924;37.574642
Москва, Новочеркасский бульвар, д.51;55.64831161;37.73962021
Москва, Новочеркасский б-р, д.5, стр.3;55.647412;37.719585
г.Москва, ул. Северный б-р, д.2;55.864899;37.607206
Москва, Строгинский б-р, д.7, корп.1;55.805356;37.400809
Москва, Чонгарский б-р, д.8;55.653761;37.615794
Москва, ВНИИССОК, ул. Кленовая, вл.1;55.659333;37.199344
Москва, МО, Внуковское поселение ул. Омская 16;55.620733;37.26422
г. Апрелевка, ул. Островского, д.38;55.540918;37.082823
г. Балашиха, Первомайский пр-д, д.1;55.792943;37.933869
г. Балашиха, ул. Колхозная, д. 12/2;55.743993;38.020404
г. Балашиха, ул. Ленина, д.8;55.796663;37.933501
г.Балашиха, ул.Лукино, д.55А;55.836297;37.934399
г. Балашиха, ул. Пролетарская, д. 2, корп. 2;55.750478;38.00722
г.Железнодорожный, ул.Рождественская, д.4;55.743993;38.003201
г. Балашиха, ул. Свердлова, д.23;55.824106;37.969883
г.Балашиха, ул Ситникова, д.8;55.789881;37.883294
г. Балашиха, ул. Центральная, д. 41;55.75013;37.957136
г. Видное, ул. Завидная, д.10;55.540648;37.721516
г. Волоколамск, ул. Ново-Солдатская д.6;56.031176;35.952186
г. Воскресенск, ул. Советская, д. 15/11;55.323642;38.681259
г. Голицыно, Привокзальная пл., д. 11;55.616362;36.987368
г. Дедовск, Ногина, 2;55.860959;37.126975
г. Дзержинский, ул. Лесная, д.11 ;55.630639;37.85842
г. Дмитров, ул.Загорская, д.30а;56.342206;37.519018
г. Долгопрудный, ул.Набережная, д.29;55.963707;37.523115
г. Долгопрудный, ул.Первомайская, д.9/4;55.931784;37.520069
г. Домодедово, ул. Корнеева, д. 1;55.436699;37.773807
г. Домодедово, ул. Курыжова, д. 14, корп. 2;55.398594;37.769486
г. Домодедово, ул. Лунная, д. 9/1;55.426545;37.757481
140304, МО, г. Егорьевск, пр. Ленина д.2;55.373168;39.051885
г. Жуковский, ул. Королёва, д. 4, стр. 2;55.60968;38.093304
г. Жуковский, ул. Фрунзе, д. 11;55.596402;38.118123
г. Звенигород, ул. Московская, д.19/21;55.729686;36.855325
124482, Москва, Зеленоград, 4-й микрорайон, д. 440;55.994456;37.211507
г. Зеленоград, корпус 118;56.006381;37.204581
г. Зеленоград, корп. 1824;55.981931;37.168594
г. Зеленоград, пр-т Георгиевский, д. 37, корп. 2 ;55.966912;37.150646
г. Ивантеевка, ул. Дзержинского, д. 21;55.969325;37.910531
г.Ивантеевка, ул.Хлебозаводская, д.30;55.971849;37.937409
г. Истра, ул. Босова, д.17;55.910614;36.864982
г. Климовск, пр-т 50 лет Октября, д. 14/6;55.374223;37.539263
г. Клин, ул. Гагарина, д.59/71;56.323745;36.720696
г. Коломна, ул. Гагарина, д.21;55.09169;38.768674
г. Коломна, ул. Октябрьской Революции, д.301;55.086924;38.795273
МО, г. Королев, мкр. Юбилейный, ул. Тихонравова, 44/2;55.937114;37.85356
г. Королев, ул. Дзержинского, д. 23/2;55.912662;37.856767
г. Котельники, 2ой Покровский пр-зд, д. 6, корп. 1;55.660775;37.856767
г. Красноармейск, пр-т Испытателей, д. 9А;56.119915;38.144291
г. Красногорск, Павшинский б-р, д.18;55.816591;37.368595
г. Красногорск, ул. Ленина, д.5;55.824445;37.316825
г. Красногорск, ул.Международная, д.12;55.821012;37.386184
